"","date_num","run"
"1",13298,30
"2",13299,71
"3",13300,548
"4",13301,619
"5",13302,413
"6",13303,359
"7",13304,609
"8",13305,900
"9",13306,923
"10",13307,691
"11",13308,11942
"12",13309,5491
"13",13310,3768
"14",13311,10784
"15",13312,18500
"16",13313,38296
"17",13314,46893
"18",13315,33080
"19",13316,35127
"20",13317,9144
"21",13318,19544
"22",13319,25434
"23",13320,33265
"24",13321,43283
"25",13322,35787
"26",13323,41921
"27",13324,78090
"28",13325,39235
"29",13326,38077
"30",13327,30433
"31",13328,43913
"32",13329,42735
"33",13330,29670
"34",13331,34247
"35",13332,24210
"36",13333,21448
"37",13334,20385
"38",13335,22293
"39",13336,12433
"40",13337,24931
"41",13338,25980
"42",13339,9096
"43",13340,22270
"44",13341,8895
"45",13342,31330
"46",13343,37750
"47",13344,19582
"48",13345,21246
"49",13346,18684
"50",13347,14598
"51",13348,18957
"52",13349,15273
"53",13350,37461
"54",13351,48868
"55",13352,36877
"56",13353,26938
"57",13354,47470
"58",13355,66928
"59",13356,31626
"60",13357,24657
"61",13358,15193
"62",13359,15473
"63",13360,16353
"64",13361,3051
"65",13362,6119
"66",13363,13198
"67",13364,16323
"68",13365,14464
"69",13366,8172
"70",13367,8042
"71",13368,9929
"72",13369,8308
"73",13370,7187
"74",13371,7399
"75",13372,5529
"76",13373,3781
"77",13374,8455
"78",13375,5683
"79",13376,3987
"80",13377,7020
"81",13378,3985
"82",13379,4503
"83",13380,4639
"84",13381,3720
"85",13382,5111
"86",13383,2744
"87",13384,6134
"88",13385,2973
"89",13386,4383
"90",13387,5164
"91",13388,2976
"92",13389,3415
"93",13390,2357
"94",13391,3325
"95",13392,4906
"96",13393,3234
"97",13394,3230
"98",13395,3098
"99",13396,2938
"100",13397,2806
"101",13398,2668
"102",13399,2544
"103",13400,2422
"104",13401,2308
"105",13402,2197
"106",13403,2094
"107",13404,1994
"108",13405,1899
"109",13406,1809
"110",13407,1723
"111",13408,1641
"112",13409,1563
"113",13410,1489
"114",13411,1418
"115",13412,1351
"116",13413,1287
"117",13414,1226
"118",13415,1168
"119",13416,1112
"120",13417,1059
"121",13418,1009
"122",13419,961
"123",13420,915
"124",13421,872
