year,month,day,black_proportion,chig_proportion,sd_bayes,sample_size
2006,6,13,0.989,0.011,0.017,400
2006,6,26,0.991,0.009,0.015,400
2006,7,3,0.847,0.153,0.036,400
2006,7,8,0.715,0.285,0.04,400
2006,7,15,0.426,0.574,0.035,400
2006,7,27,0.137,0.863,0.026,400
2007,6,13,1,0,0.008,400
2007,6,26,0.924,0.076,0.024,400
2007,7,2,0.78,0.22,0.037,400
2007,7,10,0.255,0.745,0.032,400
2007,7,14,0.107,0.893,0.027,400
2007,7,24,0.077,0.923,0.021,399
2008,6,20,0.947,0.053,0.009,400
2008,6,29,0.861,0.139,0.039,400
2008,7,6,0.532,0.468,0.038,400
2008,7,8,0.455,0.545,0.041,400
2008,7,20,0.085,0.915,0.022,400
2010,6,14,0.959,0.041,0.036,190
2010,6,21,0.995,0.005,0.014,189
2010,6,27,0.924,0.076,0.075,189
2010,7,1,0.823,0.177,0.057,189
2010,7,5,0.788,0.212,0.052,190
2010,7,8,0.784,0.216,0.056,190
2010,7,11,0.519,0.481,0.066,190
2010,7,14,0.227,0.773,0.046,188
2010,7,18,0.293,0.707,0.05,188
2010,7,23,0.108,0.892,0.037,186
2010,7,30,0.013,0.987,0.022,190
2011,6,10,0.998,0.002,0.005,188
2011,6,17,1,0,0.002,188
2011,6,24,0.976,0.024,0.04,188
2011,6,28,0.832,0.168,0.054,190
2011,7,2,0.953,0.047,0.036,190
2011,7,5,0.785,0.215,0.052,190
2011,7,9,0.719,0.281,0.055,187
2011,7,12,0.3,0.7,0.052,190
2011,7,14,0.308,0.692,0.056,190
2011,7,21,0.123,0.877,0.039,186
2011,7,28,0.036,0.964,0.029,189
2012,6,11,0.976,0.024,0.034,188
2012,6,18,0.964,0.036,0.042,190
2012,6,25,0.993,0.007,0.017,189
2012,7,1,0.644,0.356,0.058,190
2012,7,5,0.485,0.515,0.054,187
2012,7,8,0.099,0.901,0.071,187
2012,7,11,0.225,0.775,0.048,189
2012,7,14,0.07,0.93,0.036,190
2012,7,17,0.003,0.997,0.009,189
2012,7,21,0.006,0.994,0.018,190
2012,7,28,0,1,0.001,170
2013,6,27,0.911,0.089,0.045,189
2013,7,1,0.858,0.142,0.055,190
2013,7,5,0.612,0.388,0.058,169
2013,7,9,0.429,0.571,0.055,190
2013,7,14,0.288,0.712,0.057,190
2014,6,28,0.825,0.175,0.046,189
2014,7,2,0.785,0.215,0.056,189
2014,7,6,0.618,0.382,0.059,189
2014,7,10,0.357,0.643,0.062,188
2014,7,14,0.22,0.78,0.051,188
2014,7,18,0.143,0.857,0.05,189
2015,6,27,0.905,0.095,0.054,190
2015,7,1,0.932,0.068,0.042,188
2015,7,5,0.864,0.136,0.051,187
2015,7,12,0.894,0.106,0.061,190
2015,7,18,0.363,0.637,0.068,182
2015,7,25,0.383,0.617,0.061,187
2016,6,27,0.988,0.012,0.022,189
2016,7,2,0.799,0.201,0.061,156
2016,7,7,0.626,0.374,0.055,190
2016,7,12,0.422,0.578,0.051,180
2016,7,17,0.199,0.801,0.043,187
2016,7,26,0.135,0.865,0.038,190
2017,6,25,0.986,0.014,0.029,189
2017,7,1,0.855,0.145,0.044,190
2017,7,7,0.715,0.285,0.055,189
2017,7,13,0.317,0.683,0.055,189
2017,7,18,0.417,0.583,0.053,188
2017,7,23,0.429,0.571,0.059,188
2018,6,26,0.989,0.011,0.026,189
2018,7,2,0.754,0.246,0.073,188
2018,7,10,0.884,0.116,0.046,185
2018,7,17,0.636,0.364,0.062,189
2018,7,22,0.559,0.441,0.063,189
2018,7,27,0.309,0.691,0.06,186
